Algoritmo,Heuristica,Dificuldade,Tempo(s),Estados_Explorados,Comprimento_Solucao
Largura Primeiro,N/A,8P_Facil,0.0,9,2
Profundidade Primeiro,N/A,8P_Facil,0.0,31,30
Greedy BFS,manhattan,8P_Facil,0.0,3,2
Greedy BFS,pecas_fora,8P_Facil,0.0,9,2
A*,manhattan,8P_Facil,0.0011,3,2
A*,pecas_fora,8P_Facil,0.0011,9,2
Largura Primeiro,N/A,8P_Medio,0.0,18,3
Profundidade Primeiro,N/A,8P_Medio,0.0862,439,431
Greedy BFS,manhattan,8P_Medio,0.0,4,3
Greedy BFS,pecas_fora,8P_Medio,0.0,18,3
A*,manhattan,8P_Medio,0.0,4,3
A*,pecas_fora,8P_Medio,0.0,18,3
Largura Primeiro,N/A,8P_Dificil,,,
Greedy BFS,manhattan,8P_Dificil,0.0104,100,47
Greedy BFS,pecas_fora,8P_Dificil,,,
A*,manhattan,8P_Dificil,,,
A*,pecas_fora,8P_Dificil,,,
A*,manhattan,15P_Facil,0.0,3,2
A*,pecas_fora,15P_Facil,0.0,10,2
A*,manhattan,15P_Medio,0.0,4,3
A*,pecas_fora,15P_Medio,0.0,25,3
A*,manhattan,15P_Dificil,,,
A*,pecas_fora,15P_Dificil,,,
Largura Primeiro,N/A,8P_Facil,0.0,9,2
Profundidade Primeiro,N/A,8P_Facil,0.0,31,30
Greedy BFS,manhattan,8P_Facil,0.0,3,2
Greedy BFS,pecas_fora,8P_Facil,0.0,9,2
A*,manhattan,8P_Facil,0.0,3,2
A*,pecas_fora,8P_Facil,0.0,9,2
Largura Primeiro,N/A,8P_Medio,0.0,18,3
Profundidade Primeiro,N/A,8P_Medio,0.0854,439,431
Greedy BFS,manhattan,8P_Medio,0.001,4,3
Greedy BFS,pecas_fora,8P_Medio,0.0,18,3
A*,manhattan,8P_Medio,0.0,4,3
A*,pecas_fora,8P_Medio,0.0015,18,3
Largura Primeiro,N/A,8P_Dificil,,,
Greedy BFS,manhattan,8P_Dificil,0.0096,100,47
Greedy BFS,pecas_fora,8P_Dificil,,,
A*,manhattan,8P_Dificil,,,
A*,pecas_fora,8P_Dificil,,,
A*,manhattan,15P_Facil,0.0,3,2
A*,pecas_fora,15P_Facil,0.0,10,2
A*,manhattan,15P_Medio,0.0,4,3
A*,pecas_fora,15P_Medio,0.0011,25,3
A*,manhattan,15P_Dificil,,,
A*,pecas_fora,15P_Dificil,,,
Largura Primeiro,N/A,8P_Facil,0.0,9,2
Profundidade Primeiro,N/A,8P_Facil,0.0012,31,30
Greedy BFS,manhattan,8P_Facil,0.0,3,2
Greedy BFS,pecas_fora,8P_Facil,0.0,9,2
A*,manhattan,8P_Facil,0.0,3,2
A*,pecas_fora,8P_Facil,0.0,9,2
Largura Primeiro,N/A,8P_Medio,0.0,18,3
Profundidade Primeiro,N/A,8P_Medio,0.1003,439,431
Greedy BFS,manhattan,8P_Medio,0.0,4,3
Greedy BFS,pecas_fora,8P_Medio,0.0,18,3
A*,manhattan,8P_Medio,0.0,4,3
A*,pecas_fora,8P_Medio,0.0,18,3
Largura Primeiro,N/A,8P_Dificil,,,
Greedy BFS,manhattan,8P_Dificil,0.0105,100,47
Greedy BFS,pecas_fora,8P_Dificil,,,
A*,manhattan,8P_Dificil,,,
A*,pecas_fora,8P_Dificil,,,
A*,manhattan,15P_Facil,0.0,3,2
A*,pecas_fora,15P_Facil,0.0,10,2
A*,manhattan,15P_Medio,0.0,4,3
A*,pecas_fora,15P_Medio,0.0,25,3
A*,manhattan,15P_Dificil,,,
A*,pecas_fora,15P_Dificil,,,
